status,source_CoStar_URL,Tenant,Industry,Floor,SF Occupied,Employees,Move In Date,Exp Date,Page_URL,PropertyID,BBL
OK: row 1 of 8,https://product.costar.com/detail/all-properties/157956/tenant,24th Street Loft,Real Estate,9th,"4,660",1,Jul-16,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 2 of 8,https://product.costar.com/detail/all-properties/157956/tenant,Avinash K. Malhotra Architects,"Professional, Scientific, and Technical Services",6th,"4,660",10,Jan-19,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 3 of 8,https://product.costar.com/detail/all-properties/157956/tenant,Lee Litigation Group,"Professional, Scientific, and Technical Services",8th,"4,660",40,Sep-22,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 4 of 8,https://product.costar.com/detail/all-properties/157956/tenant,Patricia Von Musulin,Manufacturing,10th,"4,660",8,Jan-84,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 5 of 8,https://product.costar.com/detail/all-properties/157956/tenant,Pure Logic,"Professional, Scientific, and Technical Services",12th,"4,660",10,Jan-84,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 6 of 8,https://product.costar.com/detail/all-properties/157956/tenant,Westside Market NYC,Retailer,3rd,"4,660",4,Jan-19,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 7 of 8,https://product.costar.com/detail/all-properties/157956/tenant,Barcade,Accommodation and Food Services,GRND,"4,500",20,May-13,-,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 8 of 8,https://product.costar.com/detail/all-properties/157956/tenant,The Cutting Room Studios,Information,2nd,"4,500",3,Jun-21,Jun-26,https://product.costar.com/detail/all-properties/157956/tenant,157956,1007990067.0
OK: row 1 of 40,https://product.costar.com/detail/all-properties/157869/tenant,GS Blow Dry Bar,Services,1st,"2,200",-,Jun-25,Jun-35,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 2 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Imperial Orchid Sushi,Accommodation and Food Services,"1st, 2nd","1,950",-,May-24,May-34,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 3 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Lina Renshun Accessories,Retailer,PENT,"1,677",11,Sep-15,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 4 of 40,https://product.costar.com/detail/all-properties/157869/tenant,"Park Ridge International, Inc.",Real Estate,2nd,"1,600",3,Apr-03,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 5 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Leebro P O S,Manufacturing,2nd,"1,500",10,Jul-16,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 6 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Van Cleve Realty,,12th,"1,014",-,Mar-23,Feb-26,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 7 of 40,https://product.costar.com/detail/all-properties/157869/tenant,VC Realty,Real Estate,12th,"1,014",-,Mar-23,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 8 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Aviva Vino,Wholesaler,8th,"1,000",6,Jul-16,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 9 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Dedos Marketing Group LLC,"Professional, Scientific, and Technical Services",11th,"1,000",6,Mar-15,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 10 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Martini Caruso Productions,Information,PENT,"1,000",6,Jan-18,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 11 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Procomer-Foreign Trade Corp,Wholesaler,3rd,"1,000",4,Oct-18,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 12 of 40,https://product.costar.com/detail/all-properties/157869/tenant,World Trade Travel Inc,Services,5th,782,6,Nov-14,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 13 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Consumer Money Management,Finance and Insurance,10th,775,4,Jul-13,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 14 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Marcie DeSigns Inc,Retailer,6th,750,3,Jan-18,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 15 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Wineries and Select Prods,,8th,738,-,Feb-23,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
OK: row 16 of 40,https://product.costar.com/detail/all-properties/157869/tenant,Estelle CHATORRIER,"Professional, Scientific, and Technical Services",11th,731,4,Mar-23,-,https://product.costar.com/detail/all-properties/157869/tenant,157869,1008380072.0
