address,bbl,compliance_2024,compliance_2030,carbon_limit_2024_tCO2e,carbon_limit_2030_tCO2e,penalty_2026_dollars,penalty_2030_dollars,total_carbon_emissions_tCO2e
"17 State Street, New York, NY, 10004",1000090014,Yes,Yes,4885.3588,1820.455929,0.0,0.0,2217.876852
"24 State Street, New York, NY, 10004",1000090029,Yes,No,6542.22627,2274.745259,0.0,225731.1538,4658.729062
"33 Whitehall St, New York, NY 10004",1000100014,Yes,No,2469.096,976.66464,0.0,232748.16301159584,1845.1279348193875
"1 Whitehall Street, New York, NY, 10004",1000100023,Yes,No,2440.71452,863.2132079,0.0,3876.419057,1231.245343
"1 Broadway, New York, NY, 10004",1000130001,Yes,Yes,1796.19698,648.307539,0.0,0.0,809.3727212
"11 Broadway, Manhattan, NY, 10004",1000130005,Yes,Yes,3291.3876,1168.421755,0.0,0.0,1428.056747
"25 Broadway, New York, NY 10004",1000130027,No,No,5463.45675,2161.1006700000003,56250.71704995565,941282.1464899556,5673.347485261029
"200 W St, New York, NY 10282",1000160260,Yes,No,14565.5685,5761.49154,0.0,2019164.9883927477,13295.689257883389
"39 Broadway, New York, NY, 10006",1000200004,Yes,Yes,3391.61036,1204.000201,0.0,0.0,1680.517791
"45 Broadway, New York, NY, 10006",1000200009,Yes,Yes,2992.30354,1062.248808,0.0,0.0,1701.027664
"55 Broadway, New York, NY, 10006",1000200016,Yes,No,2707.30188,970.2281522,0.0,160972.0626464,1570.870177
"61 Broadway, New York, NY, 10006",1000210001,Yes,Yes,5453.11923,1965.139429,0.0,0.0,1962.281038
"65 broadway, new york, NY, 10006",1000210004,Yes,No,2540.69472,901.9305368,0.0,176696.5724,2535.948054
"26 Broadway, New York, NY, 10004",1000220013,Yes,No,6525.53862,2316.524887,0.0,815739.7858279998,5360.330058
"32 Broadway, New York, NY, 10006",1000220017,Yes,No,1102.84452,391.5028209,0.0,139649.8091164,912.5841982
"42 Broadway, New York, NY, 10006",1000220020,Yes,No,3071.74952,1090.451628,0.0,136015.670344,1597.972786
"50 Broadway, New York, NY, 10004",1000220024,Yes,No,2279.12408,426.0669123,0.0,86258.4158408,747.9266729
"52 Broadway, New York, NY, 10004",1000220028,Yes,No,2619.1932,489.6405462,0.0,45430.72799,1296.381695
"60 Broad Street, New York, NY, 10004",1000240001,Yes,No,8127.37454,2885.166495,0.0,41816.40708,4532.583032
"30 Broad St, New York, NY 10004",1000240029,Yes,No,2497.5,987.9,0.0,59616.21259075606,1210.3485544431196
"55 Broad St, New York, NY 10004",1000250001,Yes,No,2740.66875,1084.08675,0.0,239564.64701065535,1977.9846866069229
"1 William St, New York, NY 10004",1000290036,Yes,No,708.75,280.35,0.0,46375.49635773898,453.39289685723503
"75 Broad Street, New York, NY, 10004",1000290070,Yes,No,5773.4358,2416.663826,0.0,514626.6971600001,4336.912696
"44 Beaver St, New York, NY 10004",1000290073,Yes,No,658.773,260.58132,0.0,72662.72013175474,531.7108727304282
"77 Water Street, New York, NY, 10005",1000330001,Yes,No,4145.36556,1471.578523,0.0,104748.481,2540.698578
"80 Pine Street, New York, NY, 10005",1000390012,Yes,Yes,8236.74398,2902.972598,0.0,0.0,3742.974381
"60 WALL STREET, NEW YORK, NY, 10005-2836",1000400003,Yes,Yes,14106.8182,5384.365635,0.0,0.0,1287.720484
"48 Wall Street, New York, NY, 10004",1000400014,Yes,No,2379.49844,844.7068781,0.0,2604.130429,1439.01006
"80 Maiden Lane, New York, NY, 10038",1000420031,Yes,No,4062.6959,1439.919799,0.0,40164.31633599997,1589.786651
"44 Wall Street, New York, NY, 10005",1000430001,Yes,Yes,2190.99142,777.7880797,0.0,0.0,953.1257918
"2 Wall St, New York, NY 10005",1000460001,Yes,No,1168.82325,462.33453,0.0,70760.20942928991,726.365162198843
"14 Wall Street, New York, NY, 10005",1000460009,Yes,No,8352.30601,2970.638543,0.0,448824.664,6442.586063
"140 Broadway, New York, NY, 10005",1000480001,Yes,Yes,9766.39954,3515.336482,0.0,0.0,4539.190618
"111 Broadway, New York, NY, 10006",1000490002,Yes,Yes,3411.0,1210.8834,0.0,0.0,1783.142928
"115  Broadway, New York, NY, 10006",1000500001,Yes,Yes,3035.246,1078.760856,0.0,0.0,1716.553505
68 TRINITY PLACE,1000510007,Yes,No,1897.56675,750.59307,0.0,94540.10924077852,1103.354671644696
"150 Broadway, New York, NY, 10038",1000640012,Yes,Yes,2158.47476,734.1237852,0.0,0.0,747.8973065
"160 Broadway, Manhattan, NY, 10038",1000640015,Yes,No,1137.0,403.6278,0.0,38725.73167,764.0531424
"15 Maiden Lane, New York, NY, 10038",1000650007,Yes,Yes,1064.95402,381.5672029,0.0,0.0,388.2111867
"19 Liberty St, New York, NY 10038",1000660001,No,No,4320.0,1708.8,443012.4092966739,1142814.0092966738,5973.031377972664
"59 Maiden Lane, Manhattan, NY, 10038",1000670001,Yes,No,8133.34,2887.284196,0.0,873193.146644,6145.467579
"75 Maiden Lane, New York, NY, 10038",1000680011,Yes,Yes,1128.63998,400.3518434,0.0,0.0,510.5818997
"111 John Street, Manhattan, NY, 10038",1000750030,Yes,Yes,2244.25608,796.6966968,0.0,0.0,851.6140718
"110 William Street, New York, NY, 10038",1000770008,Yes,No,5915.46666,2111.160083,0.0,131301.96681599994,2601.092795
"217 Broadway, New York, NY 10007",1000880001,Yes,No,899.0865,355.63866,0.0,60279.74587224959,580.5630848964537
"30 Vesey Street, New York, NY, 10007",1000880010,Yes,No,545.44922,193.6310191,0.0,5833.325496,324.1778777
"225 Broadway, Manhattan, NY, 10007",1000880018,Yes,No,3644.69898,1293.845058,0.0,53169.77169,2024.209939
"116 Nassau St, New York, NY 10038",1000920024,Yes,Yes,736.91775,291.49191,0.0,0.0,210.35212215166743
"100 Gold St, New York, NY 10038",1000940025,Yes,No,4426.48125,1750.91925,0.0,383646.488899153,3182.435999623706
"1 Police Plaza, New York, NY 10038",1001190001,No,No,6753.4965,2671.38306,85952.1632113081,1179958.565131308,7074.213526907866
"1 Centre St, New York, NY 10013",1001210001,Yes,Yes,7132.05,2821.122,0.0,0.0,2727.982859449972
"52 Chambers St, New York, NY 10007",1001220001,Yes,No,972.108,384.52272,0.0,97108.42392022903,746.867585373989
"11 Park Pl, New York, NY 10128",1001240004,Yes,No,1383.75,547.35,0.0,29021.013258735853,655.6373629057308
"255 Greenwich Street, New York, NY, 10007",1001270018,Yes,No,4224.57374,1287.88345,0.0,256279.67258,2244.150885
"71 Thomas St, New York, NY 10013",1001480010,Yes,No,680.0625,269.0025,0.0,9917.971325904577,306.0098556936738
"280 Broadway, New York, NY, 10007",1001530001,Yes,No,1834.82996,651.3530168,0.0,53748.68500639999,851.9078116
"23 Chambers St, New York, NY 10007",1001530024,Yes,Yes,1551.312,613.63008,0.0,0.0,577.0736518463275
"14 Reade St, New York, NY 10007",1001540023,Yes,No,484.191,191.52444,0.0,51720.36756085388,384.5108861225891
"2 Lafayette St, New York, NY 10007",1001550001,Yes,No,2390.64075,945.63123,0.0,182182.00144543167,1625.414817482954
"52 Duane Street, Manhattan, NY, 10007",1001550003,Yes,No,798.45579,289.6162579,0.0,27209.187009599995,391.1430751
"75 Centre St, New York, NY 10013",1001680032,Yes,No,2382.75,942.51,0.0,148541.01596100416,1496.7675222425528
"60 Walker St, New York, NY 10013",1001940042,Yes,Yes,1553.43825,614.47113,0.0,0.0,385.81585670555654
"408 Broadway, New York, NY, 10013",1001960005,Yes,Yes,426.0718,145.3891709,0.0,0.0,128.4796258
"200 Hudson St, New York, NY 10013",1002210030,Yes,Yes,2216.80125,876.86805,0.0,0.0,849.1436651179522
"451 Broadway, New York, NY 10013",1002310035,Yes,Yes,507.6,271.8,0.0,0.0,0.588643
"434 Broadway, New York, NY 10013",1002320001,Yes,No,351.43874999999997,139.01355,0.0,429.07425633356934,140.61457334452825
"462 Broadway, New York, NY 10013",1004730001,Yes,No,952.0875,376.6035,0.0,27664.48639620559,479.8291955082298
"483 Broadway, New York, NY 10013",1004740030,Yes,Yes,386.80875,153.00435000000002,0.0,0.0,148.1670404164323
"72-78 Spring Street, New York, NY, 10012",1004820016,Yes,Yes,949.016,333.845588,0.0,0.0,502.4264964
"134 Spring Street, New York, NY, 10012",1004860011,Yes,No,500.06776,165.5120385,0.0,8070.953202,276.9148007
"71 Spring St, New York, NY, 10012",1004960036,Yes,Yes,427.0572,145.9735265,0.0,0.0,241.5828483
"75 Spring Street, New York, NY, 10012",1004960040,Yes,Yes,415.384,144.1750624,0.0,0.0,95.1476773
"530-536 Broadway, New York, NY, 10012",1004970001,Yes,Yes,1288.47114,449.5629537,0.0,0.0,383.9142197
"557 Broadway, New York, NY 10012",1004980009,Yes,No,759.375,300.375,0.0,104906.90234546734,691.8186654681617
"549 Broadway, New York, NY 10012",1004980011,Yes,No,1643.2335,649.99014,0.0,34330.33672981865,778.0884113799203
"110 Greene Street, New York, NY, 10012",1004990007,Yes,Yes,1134.44558,439.9501097,0.0,0.0,400.7947172
