bbl,address,status,video_id,capture_date,duration,error
1000090014,"17 State St, New York, NY 10004",active,wJql3ZGi_K9jUolEQJ4qPt,,40s,
1000090029,"24 State St, New York, NY 10004",active,pEmc7uTCM_sx1YCcOewv96,"{'year': 2023, 'month': 6, 'day': 17}",40s,
1000100014,"33 Whitehall St, New York, NY 10004",active,DcQ6P1JnMl7AUk0A6vV3sv,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000100023,"1 Whitehall St, New York, NY 10004",active,yhICKCWVtlmzcRdHYoZU7q,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000130001,"1 Broadway, New York, NY 10004",active,60TirLeoxiynVhDBCglxVv,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000130005,"11 Broadway, New York, NY 10004",active,79zaCfkDMpuFqoacM9DBgc,,40s,
1000130027,"25 Broadway, New York, NY 10004",active,D-F-dvcm6Zl6d8qHr700ff,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000160260,"200 W St, New York, NY 10282",active,vp8EaH-CqQj3n_HA47lnbD,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000200004,"39 Broadway, New York, NY 10006",active,fJeDptncNamObJOYonNjYJ,,40s,
1000200009,"45 Broadway, New York, NY 10006",active,hgOQx_tsHZQH8vij_jq98l,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000200016,"55 Broadway, New York, NY 10006",active,QdM7scGeycvCayR0bII0Fg,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000210001,"61 Broadway, New York, NY 10006",active,BJlOJcI2_8mmsv88xdcyBK,,40s,
1000210004,"65 Broadway, New York, NY 10006",active,65i9ad53AnujRjyz2DAVgR,,40s,
1000220013,"26 Broadway, New York, NY 10004",active,d_fbzbq-A45IOv1t53cGFg,,40s,
1000220017,"32 Broadway, New York, NY 10004",active,D387WVdFzi9i03jmtemzqi,,40s,
1000220020,"42 Broadway, New York, NY 10004",active,gypBsoGt338Ko7E77j1bOx,,40s,
1000220024,"50 Broadway, New York, NY 10004",active,uebB5tS8rD_Jkub7o2ZwQr,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000220028,"52 Broadway, New York, NY 10004",active,vfir54pv2f_HMq7SLkyGES,,40s,
1000240001,"60 Broad St, New York, NY 10004",active,R8CZhvNSlaZtyo5R3KkAcf,,40s,
1000240029,"30 Broad St, New York, NY 10004",active,etWUsRYcLUpzwArIt5ku3k,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000250001,"55 Broad St, New York, NY 10004",active,ua6ftPMK7ixLE9fNlDdXC6,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000290036,"1 William St, New York, NY 10004",active,4ojS6ExXf63fFcsthpluA4,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000290070,"75 Broad St, New York, NY 10004",active,eVeDMhesXvGgLGwdi2cuQj,,40s,
1000290073,"44 Beaver St, New York, NY 10004",active,NwUivIFbhfF1OTDLVrS4jz,"{'year': 2023, 'month': 6, 'day': 17}",40s,
1000330001,"77 Water St, New York, NY 10005",active,CayJMXvB4i8p_kgEvJwZWN,,40s,
1000390012,"110 Maiden Lane, New York, NY 10005",active,_t7Zh7sHxdo4AV24Mx8_Vw,,40s,
1000400003,"60 Wall St, New York, NY 10005",active,FuE1Mufz9P3r27yOrYzEBK,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000400014,"48 Wall St, New York, NY 10005",active,b_KvlV8Nyy3fAumdJRR-26,,40s,
1000420031,"80 Maiden Lane, New York, NY 10038",active,5APz9Ap-FqFNlNLvl8Jq-V,,40s,
1000430001,"44 Wall St, New York, NY 10005",active,1VO7yAsUWbstrqBltHjK6W,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000460001,"2 Wall St, New York, NY 10005",active,TlynJmWxJuOsdLVfbe-sH5,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000460009,"14 Wall St, New York, NY 10005",active,XWCM6FI49gkvzYaJGRqlK8,,40s,
1000480001,"140 Broadway, New York, NY 10005",active,-KiWVNLRfYGHf7nL-6rmnW,"{'year': 2022, 'month': 6, 'day': 19}",40s,
1000490002,"111 Broadway, New York, NY 10006",active,qp0_xG3_gdYYteDK3rV_jH,"{'year': 2023, 'month': 6, 'day': 17}",40s,
1000500001,"115 Broadway, New York, NY 10006",failed,sk_S5BYrG0R-q8h72vVk2V,,,
1000510007,"76 Trinity Pl, New York, NY 10006",active,-DGwO8sbZ6-c2A3pbVlDUg,"{'year': 2023, 'month': 6, 'day': 17}",40s,
1000640012,"150 Broadway, New York, NY 10038",active,hEm_JSQ3iv-jHC0Xv29O6-,"{'year': 2023, 'month': 6, 'day': 17}",40s,
1000640015,"160 Broadway, New York, NY 10038",active,7YKupxkVsJW6uJyFiptwpU,"{'year': 2023, 'month': 6, 'day': 17}",40s,
1000650007,"15 Maiden Lane, New York, NY 10038",failed,Nwi0vW24dlbCjfw_5Juh33,,,
1000660001,"19 Liberty St, New York, NY 10038",failed,csczs4Pkt5EmsR1QYglJQj,,,
1000670001,"59 Maiden Lane, New York, NY 10038",active,qN3FZDw3Yg8ipGxG3pPpd_,,40s,
1000680011,"75 Maiden Lane, New York, NY 10038",failed,6yhnTebHvmMLXSMnyWkJMd,,,
1000750030,"111 John St, New York, NY 10038",active,YjrRwNEsfEoeILZazWgXcn,"{'year': 2022, 'month': 6, 'day': 19}",40s,
