bbl,property_id,address,NAME,block,lot,Postal Code,latitude,longitude,ownername,bldgclass,yearbuilt,yearalter1,numfloors,unitstotal,Occupancy,Height Roof,Property GFA - Self-Reported (ft²),bldgarea,conditioned_office_sqft,Office - Gross Floor Area (ft²),officearea,Office - Weekly Operating Hours,Office - Number of Workers on Main Shift,ClosestIAQSensorSite,DistanceToClosestSensor_ft,DistanceToClosestSensor_miles,DOITT_ID,OBJECTID,the_geom,SHAPE_AREA,Feature Code,Length,Geometry Source
1014350044,4803003,"306 E 61st St, New York, NY 10065",306 East 61st Street,1435,44,10065,40.7613603,-73.9628338,URBAN DEVELOPMENT PARTNERS,O6,1901,1967,7,19,100,86.2,58340,58340,58340,58340,46841,75,100,Queensboro Bridge,291.9,0.06,405972,992523,"MULTIPOLYGON (((-73.96302324401 40.761290102077, -73.963106739295 40.761325488964, -73.962989671868 40.76148518745, -73.962971961302 40.761509347704, -73.962929189458 40.76156769476, -73.962808949959 40.761516735169, -73.962646247861 40.761447778613, -73.962582457232 40.761420742771, -73.962630825867 40.761354761378, -73.962701615048 40.761258194377, -73.962757400376 40.761281837165, -73.962886104021 40.761336384448, -73.962929009683 40.761277853746, -73.962944496758 40.761256727484, -73.96302324401 40.761290102077)))",1485.703125,2100,169.8906002,Photogrammetric
1012720066,2381188,"48 W 57th St, New York, NY 10019",50 West 57th Street,1272,66,10019,40.7637628,-73.9765862,VORNADO REALTY TRUST,O6,1927,0,16,25,85,234.94,75077,73732,51177,51177,63817,60.34,60.52,Queensboro Bridge,3599.5,0.69,510282,489315,"MULTIPOLYGON (((-73.97642411542 40.763852443246, -73.976453463557 40.763812493869, -73.97663657462 40.76356323551, -73.976732062584 40.763603790138, -73.976686051285 40.763666422624, -73.976747691018 40.763692601035, -73.976739256816 40.763704080764, -73.976621124356 40.763864888736, -73.976581243547 40.763919175647, -73.97642411542 40.763852443246)))",892.5820313,2100,137.3927779,Photogrammetric
1012730001,2648577,"1400 Ave Of The Americas, New York, NY 10019",Medical Arts Center,1273,1,10019,40.764471,-73.9767123,AVAMER 57 FEE LLC,O6,1928,1989,18,93,100,240.13,158597,143914,132761,132761,92914,50,500,Queensboro Bridge,3706.7,0.71,79083,879687,"MULTIPOLYGON (((-73.976422268892 40.764572176344, -73.97644801164 40.764537007912, -73.976473119235 40.76450270653, -73.97653767516 40.764530024784, -73.976669435872 40.764350021822, -73.976712352714 40.764291389664, -73.976714088629 40.764289018987, -73.976944154602 40.764386373747, -73.976941699445 40.764389727634, -73.976716891577 40.764696848934, -73.976485653702 40.764598998209, -73.976422268892 40.764572176344)))",1626.785156,2100,179.4900028,Photogrammetric
1012750008,6791746,"7 E 40th St, New York, NY 10016",9 East 40 Street,1275,8,10016,40.7520298,-73.9808637,SACHAR 26 LLC,O6,1913,0,18,4,100,227.02,86788,86788,80238,80238,77888,60,300,Broadway/35th St,1970.1,0.38,43100,434035,"MULTIPOLYGON (((-73.980663862122 40.752103259964, -73.980738041996 40.751999306283, -73.980823657929 40.751879325451, -73.980989479372 40.751947756264, -73.980887744552 40.752090327337, -73.980829685143 40.752171691005, -73.980663862122 40.752103259964)))",786.3125,2100,116.8550296,Photogrammetric
1012750069,21898272,"473 5 Ave, New York, NY 10017",475 Fifth Avenue,1275,69,10017,40.7524663,-73.9811451,T-C 475 FIFTH AVENUE LLC,O4,1925,1965,23,68,100,304,220413,220413,220413,220413,189033,84,700,Broadway/35th St,1942.4,0.37,248527,49883,"MULTIPOLYGON (((-73.981273283714 40.752683637607, -73.981150718075 40.75263305962, -73.980963099483 40.752555636597, -73.980973002945 40.752541758737, -73.980957094578 40.752535194122, -73.980956976488 40.752534057665, -73.980841180343 40.752486272034, -73.98086917424 40.752447042547, -73.981010999529 40.752248290148, -73.981145835409 40.75230393384, -73.981108476149 40.752356288534, -73.981247192332 40.752413532041, -73.981286022805 40.752359115383, -73.981439572448 40.752422480004, -73.98145507472 40.752428876993, -73.981440346454 40.752449517817, -73.981297837309 40.752649227865, -73.981273283714 40.752683637607)))",2180.984375,2100,214.7542276,Other (Manual)
1008680072,2705516,"437 5 Ave, New York, NY 10016",URA Group - 437 5th Avenue,868,72,10016,40.7513027,-73.9820224,JOSEPH P DAY REALTY,O6,1906,1986,11,17,100,151.01,67365,69378,61240,61240,63878,65,140,Broadway/35th St,1606.8,0.31,420770,364931,"MULTIPOLYGON (((-73.981782015209 40.751274417527, -73.981850519081 40.751179842791, -73.981911850992 40.75120564473, -73.981923663508 40.751189405058, -73.981958464567 40.751204045537, -73.982246282804 40.751325124561, -73.982165744258 40.751435845542, -73.981782015209 40.751274417527)))",886.6914063,2100,134.9040107,Photogrammetric
1012780001,3118703,"521 5 Ave, New York, NY 10018",521 Fifth Avenue,1278,1,10175,40.7541706,-73.9798199,345 PARK AVENUE LLC,O4,1929,2019,38,61,100,463.1904106,446045,434152,401183,401183,371539,44.67,210,Broadway/35th St,2534.2,0.48,259638,850841,"MULTIPOLYGON (((-73.979520178071 40.754233945312, -73.979408079248 40.754186581247, -73.979444217906 40.754137120225, -73.979552966453 40.753988279691, -73.979598719691 40.753925659435, -73.980181996995 40.754172102671, -73.980093196967 40.754293642113, -73.98004751739 40.754356162618, -73.979991358131 40.754433025439, -73.979784282752 40.754345533987, -73.979520178071 40.754233945312)))",3258.214844,2100,236.3432644,Photogrammetric
1012600024,3530097,"19 W 44th St, New York, NY 10036",Berkeley Building,1260,24,10036,40.7555321,-73.9808338,SL GREEN REALTY CORP,O6,1916,1989,16,150,85,217.87,253442,235199,252962,252962,222211,40.46,124,Midtown-DOT,2604.1,0.5,488293,220571,"MULTIPOLYGON (((-73.980542528422 40.755762353319, -73.980620697181 40.755655123503, -73.980639793711 40.75566317363, -73.980696520769 40.755585356966, -73.980717269163 40.755556894563, -73.980802807234 40.755439554977, -73.980727464476 40.755407795078, -73.980834590518 40.755260841451, -73.980999868201 40.755330511219, -73.981146718705 40.755392413577, -73.981109350918 40.755443674132, -73.981046452355 40.755529959239, -73.980980555811 40.755502182194, -73.98091576037 40.755591067576, -73.980866686548 40.755658385725, -73.9807325161 40.75584243928, -73.980542528422 40.755762353319)))",2220.613281,2100,244.8130927,Photogrammetric
1009970029,7365,"1155 Ave Of The Americas, New York, NY 10036",1155,997,29,10036,40.7566716,-73.9833601,THE DURST ORGANIZATION,O4,1984,2016,40,43,55,511.16,686838,734668,681611,681611,686025,54.82,163.77,Midtown-DOT,2017.8,0.39,659085,482681,"MULTIPOLYGON (((-73.983518531413 40.756702991898, -73.983738118443 40.756795679691, -73.983760843769 40.756805271476, -73.983615494994 40.75700438593, -73.983602962804 40.757021554081, -73.983338689526 40.756910005701, -73.983002746023 40.756768203593, -73.983018236365 40.756746981868, -73.982983011836 40.756732112931, -73.983114963712 40.756551353204, -73.983185034646 40.756455362381, -73.983234588984 40.756476279337, -73.983261598502 40.756439278799, -73.983271301783 40.756425986048, -73.983329429883 40.756413750302, -73.983465169807 40.756471046504, -73.983525795551 40.756496636744, -73.983560114242 40.756511122672, -73.983576492383 40.756552869732, -73.983533811611 40.756611338853, -73.983479067717 40.756686334102, -73.983518531413 40.756702991898)))",4032.109375,2100,282.9315494,Photogrammetric
1012750027,2712431,"100 Park Ave, New York, NY 10017",SL Green Realty Corporation 100 Park Avenue,1275,27,10017,40.7513406,-73.9789257,SL GREEN REALTY CORP,O4,1950,0,36,1,100,476.29,861569,778203,850336,850336,756583,60.82,458.63,Broadway/35th St,2451.2,0.47,100691,18314,"MULTIPOLYGON (((-73.979492672334 40.751320445725, -73.979462538943 40.751361685332, -73.979374416594 40.751482286962, -73.979338028182 40.751532087427, -73.979314463488 40.751522129906, -73.979184873776 40.751467368407, -73.97912611786 40.751442539831, -73.979072823655 40.751420018413, -73.978980241523 40.751546723461, -73.978884488919 40.751677767388, -73.97883111765 40.751655213427, -73.978540134876 40.751532249531, -73.978429228818 40.751485382695, -73.978470884857 40.751428374951, -73.978539693043 40.75133420747, -73.978663518382 40.751164744433, -73.978754356794 40.751040426554, -73.978772210506 40.751015992812, -73.979231460739 40.75121006353, -73.979492672334 40.751320445725)))",5776.625,2100,341.346715,Photogrammetric
1012990022,2955750,"437 Lexington Ave, New York, NY 10017",441 Lexington Avenue,1299,22,10017,40.7528329,-73.9747348,441 LEXINGTON AVENUE,O6,1925,1970,18,1,100,244.91,97085,97075,97085,97085,91555,65,160,Broadway/35th St,3671.9,0.7,318812,844001,"MULTIPOLYGON (((-73.974512617668 40.752909603611, -73.974540511995 40.752871559807, -73.974679291255 40.752682279756, -73.974686053904 40.75267305556, -73.974695034256 40.752676863071, -73.974924375143 40.752774106614, -73.974927924672 40.752775611231, -73.974754489028 40.753012158743, -73.974512617668 40.752909603611)))",1226.890625,2100,141.2365025,Photogrammetric
1012840014,20965413,"410 Madison Ave, New York, NY 10017",410 Madison Avenue,1284,14,10017,40.756879,-73.9766644,BANK OF CHINA,O6,1964,1985,7,2,100,116.72,58395,58395,58395,58395,51555,55,125,Midtown-DOT,3799.3,0.73,586693,5830,"MULTIPOLYGON (((-73.976704634008 40.757027955244, -73.976621456514 40.75699290604, -73.976446922358 40.756919362245, -73.976577439902 40.756740258541, -73.976579186292 40.756737861751, -73.97687712568 40.756863404645, -73.976879423929 40.756864373149, -73.976747160561 40.757045873985, -73.976704634008 40.757027955244)))",1165.222656,2100,137.4249857,Photogrammetric
1012840007,4233307,"7 E 48th St, New York, NY 10017",Kato International LLC Current,1284,7,10017,40.7572304,-73.9770216,KATO INTERNATIONAL,O4,1984,0,45,38,95,616.48,598088,656428,566807.9976,598088,654068,61.4,2950,Midtown-DOT,3752.2,0.72,624605,173513,"MULTIPOLYGON (((-73.976747950996 40.757346252075, -73.976726875886 40.75733737154, -73.976706725195 40.757265501747, -73.976704112479 40.757256185492, -73.976738731204 40.75720868003, -73.97679346909 40.757231744003, -73.976864781497 40.757261792896, -73.976945297925 40.757151301735, -73.976947524155 40.757148246766, -73.97690156608 40.757128882101, -73.976934307884 40.757083952549, -73.977038012382 40.757059325535, -73.977132452957 40.757099119636, -73.977282595469 40.757162384619, -73.977312781657 40.757238584116, -73.977275234527 40.757290109028, -73.977151376737 40.757237920064, -73.977069943515 40.757349669191, -73.977116827729 40.757369424791, -73.977079526811 40.757420611998, -73.976977881881 40.757443137681, -73.976747950996 40.757346252075)))",1974.019531,2100,225.1436542,Photogrammetric
