bbl,total_gross_floor_area,office_sqft,total_building_energy_kBtu,total_office_energy_kBtu,building_eui_kBtu_sf_year,office_eui_kBtu_sf_year
1000090014,575860,542515.0,30270665.800207265,28514966.0,52.57,52.56
1000090029,835356,849807.0,72722757.1967,72722756.0,87.06,85.58
1000100014,365792,290751.458,24458065.998969045,19444162.0,66.86,66.88
1000100023,321994,316494.0,20444567.8004,20097011.0,63.49,63.5
1000130001,230911,180000.0,8167240.199999999,6370448.0,35.37,35.39
1000130005,434220,411720.0,22469339.90022104,21300934.0,51.75,51.74
1000130027,809401,767690.0,78076731.50000001,74016741.0,96.46,96.41
1000160260,2157862,1834182.7,183257467.4987,155768846.0,84.93,84.93
1000200004,447442,447442.0,26700028.699660003,26700027.0,59.67,59.67
1000200009,394763,368305.0,22874701.402792305,21342097.0,57.95,57.95
1000200016,354072,298081.0,22132195.49973,18635310.0,62.51,62.52
1000210001,709506,633379.0,28864147.201016,25775682.0,40.68,40.7
1000210004,335184,330184.0,36443708.396,35897053.0,108.73,108.72
1000220013,200000,856889.0,21574184.2,21574183.0,107.87,25.18
1000220017,145494,134940.0,11086146.399999999,10276856.0,76.2,76.16
1000220020,405244,389917.0,23529290.5,22635177.0,58.06,58.05
1000220024,300676,279778.0,8753939.200000001,8141164.0,29.11,29.1
1000220028,345540,278310.0,14981589.2,12060179.0,43.36,43.33
1000240001,1072213,974984.0,70948483.2996,64492172.0,66.17,66.15
1000240029,370000,362072.0,15652978.399975002,15324266.0,42.31,42.32
1000250001,406025,400143.0,30681938.499999993,30252392.0,75.57,75.6
1000290036,105000,49250.0,5358060.9,2679030.0,51.03,54.4
1000290070,671172,653245.0,58821352.30200001,57233176.0,87.64,87.61
1000290073,97596,97596.0,8636236.311479999,8636239.0,88.49,88.49
1000330001,546882,372360.87,43354426.1,29524364.0,79.28,79.29
1000390012,1049691,1069367.0,73735049.89999999,73735050.0,70.24,68.95
1000400003,1625483,1374625.1,17680493.700000003,14957696.0,10.88,10.88
1000400014,313918,259055.0,19999499.399525277,16499587.0,63.71,63.69
1000420031,527605,429598.1875,21573579.59976911,17560897.0,40.89,40.88
1000430001,289049,289049.0,13816283.6,13816283.0,47.8,47.8
1000460001,173159,153090.0,9870151.300044231,8725213.0,57.0,56.99
1000460009,1087770,814801.0,107531396.4003,80541016.0,98.85,98.85
1000480001,1272119,1113972.0,53629049.7,46979047.0,42.16,42.17
1000490002,450000,423593.0,25594179.299828336,24084124.0,56.88,56.86
1000500001,400000,374003.0,24458745.4004376,22868926.0,61.15,61.15
1000510007,281121,238952.85,13028714.2,11074412.0,46.35,46.35
1000640012,276000,272517.0,11275867.299999999,11129281.0,40.85,40.84
1000640015,150000,141000.0,6024720.69997,5663236.0,40.16,40.16
1000650007,144200,123372.0,5920739.600032201,5068153.0,41.06,41.08
1000660001,640000,640000.0,93249977.6988,93249977.0,145.7,145.7
1000670001,1073000,1073000.0,93569585.4994,93569585.0,87.2,87.2
1000680011,155026,131772.1,7858038.3000610005,6679331.0,50.69,50.69
1000750030,296076,251664.6,13237320.49961,11251723.0,44.71,44.71
1000770008,788240,767504.0,38585518.098400004,37582296.0,48.95,48.97
1000880001,133198,93739.0,7568417.500010001,5328167.0,56.82,56.84
1000880010,71959,68163.0,4859173.10828,4601636.0,67.53,67.51
1000880018,480831,463700.0,12990580.100000001,12522922.0,27.02,27.01
