bbl,address,ownername,property_manager,yearalter,numfloors,unitstotal,total_gross_floor_area,office_sqft,% Leased,LL33 grade,Latest_ENERGY_STAR_Score,Latest_Target_ENERGY_STAR_Score,Estimated_Target_ENERGY_STAR_Score,Class,LandlordContact,PropertyManagerContact,2024 Building OpEx/SF,Typical Floor Sq Ft,Number Of Elevators,GreenRating,neighborhood,latitude,longitude
1000090014,"17 State St, New York, NY 10004",RFR Realty,Servcorp,1987,42.0,96,575860,542515.0,100.0,B,79,85.0,,A,,,,,,,Financial District-Battery Park City,40.7028885,-74.0138771
1000090029,"24 State St, New York, NY 10004",Rudin,RFR Realty,2018,35.0,59,835356,849807.0,100.0,D,52,,56.0,A,AJ Camhi (212) 308-0700 (p),,,,,,Financial District-Battery Park City,40.7034516,-74.0141291
1000100014,"33 Whitehall St, New York, NY 10004",Broad Financial Center,CBRE,2004,30.0,29,365792,290751.458,84.0,B,82,,74.0,A,Edward Goldman (212) 984-8193 (p),Anthony Sela (212) 697-8601 (p),$7.85 ,13464.0,12.0,,Midtown,40.703353,-74.0127036
1000100023,"1 Whitehall St, New York, NY 10004",Chetrit Group,Cushman & Wakefield,1989,21.0,41,321994,316494.0,100.0,A,90,,83.0,A,Paige Engeldrum (212) 841-7740 (p),,$8.87 ,17070.0,9.0,,Financial District-Battery Park City,40.7038046,-74.0128442
1000130001,"1 Broadway, New York, NY 10004",Rockwood,Cushman & Wakefield,2021,12.0,1,230911,180000.0,100.0,B,72,,83.0,A,Matthew Friedman (415) 645-4300 (p),Steve Donahue (212) 952-1395 (p),$13.17 ,18750.0,8.0,,Financial District-Battery Park City,40.7049658,-74.0144968
1000130005,"11 Broadway, New York, NY 10004",KF Braun,KF Braun,2012,22.0,126,434220,411720.0,62.8,A,95,,88.0,B,,(212) 349-2154 (p),$5.32 ,22500.0,12.0,,Financial District-Battery Park City,40.7052656,-74.0139733
1000130027,"25 Broadway, New York, NY 10004",ACTA Realty,CBRE,2010,23.0,12,809401,767690.0,89.1,N (exempt),88,,81.0,A,Richard Levine (212) 618-7060 (p),,,,,,Financial District,40.7029347,-74.0128136
1000160260,"200 W St, New York, NY 10282",Goldman Sachs Group,CBRE,2009,45.0,1,2157862,1834182.7,100.0,N (exempt),77,85.0,,A,Stephen Sjurset (212) 984-7105 (p),,,,,,Midtown,40.714751,-74.0143441
1000200004,"39 Broadway, New York, NY 10006",Cammeby's,The Lawrence Group,2005,38.0,87,447442,447442.0,77.7,A,89,90.0,,B,David Ofman (212) 413-8427 (p),Aron Weber (212) 405-2500 (p),$7.76 ,8700.0,13.0,,Financial District-Battery Park City,40.7064204,-74.0133518
1000200009,"45 Broadway, New York, NY 10006",Cammeby's,The Lawrence Group,1983,31.0,71,394763,368305.0,87.7,B,81,75.0,,A,Brian Siegel (212) 413-8425 (p),(212) 363-3939 (p),$7.48 ,11881.0,11.0,,Financial District-Battery Park City,40.7064697,-74.013041
1000200016,"55 Broadway, New York, NY 10006",Vornado Realty Trust,CBRE,1983,31.0,60,354072,298081.0,86.9,B,81,50.0,,A,Bradley Gerla (212) 984-7153 (p),(212) 644-0515 (p),$8.36 ,9668.0,9.0,,Financial District-Battery Park City,40.7067667,-74.0129989
1000210001,"61 Broadway, New York, NY 10006",RXR Realty,Newmark,1988,33.0,102,709506,633379.0,59.8,A,92,,84.0,A,Hal Stein (212) 233-8185 (p),,,,,,Financial District-Battery Park City,40.7070853,-74.0125526
1000210004,"65 Broadway, New York, NY 10006",Chetrit Group,Ramsco Realty,2015,21.0,170,335184,330184.0,100.0,F,80,,81.0,B,Ariel Chetrit (917) 535-2979 (p),Fraidy Taub (212) 571-7959 (p),$6.38 ,16299.0,12.0,,Financial District-Battery Park City,40.7073811,-74.0125505
1000220013,"26 Broadway, New York, NY 10004",Chetrit Group,Newmark,1998,32.0,49,200000,856889.0,80.2,C,90,75.0,,A,Alexander Kesseler (212) 372-0766 (p),,,,,,Financial District-Battery Park City,40.7054596,-74.0132303
1000220017,"32 Broadway, New York, NY 10004",Vornado Realty Trust,The Lawrence Group,2017,18.0,51,145494,134940.0,75.0,D,45,,64.0,A,Brian Siegel (212) 413-8425 (p),(516) 548-1801 (p),$6.47 ,7000.0,6.0,,Financial District-Battery Park City,40.7058035,-74.0127107
1000220020,"42 Broadway, New York, NY 10004",Vornado Realty Trust,The Lawrence Group,1999,21.0,55,405244,389917.0,74.4,B,84,,76.0,A,Brian Siegel (212) 413-8425 (p),(516) 548-1801 (p),$8.11 ,17724.0,10.0,,Financial District-Battery Park City,40.705974,-74.0126146
1000220024,"50 Broadway, New York, NY 10004",50 Broadway Realty,Cushman & Wakefield,2003,38.0,66,300676,279778.0,99.0,B,85,,75.0,B,Stephen Bellwood (212) 318-9785 (p),,$7.38 ,10000.0,11.0,,Financial District-Battery Park City,40.7063491,-74.0125217
1000220028,"52 Broadway, New York, NY 10004",Jack Resnick & Sons,Cushman & Wakefield,2003,19.0,22,345540,278310.0,97.0,C,70,,70.0,A,Stephen Bellwood (212) 318-9785 (p),Dave Hickey (212) 777-7500 (p),$10.24 ,20771.0,11.0,,Financial District-Battery Park City,40.7065844,-74.0123328
1000240001,"60 Broad St, New York, NY 10004",Piedmont Realty Trust,JLL,2018,39.0,1,1072213,974984.0,100.0,B,74,,77.0,A,John Wheeler (212) 812-5906 (p),,,,,,Financial District-Battery Park City,40.705607,-74.0115912
1000240029,"30 Broad St, New York, NY 10004",Edge Principal Advisors,Newmark,1985,48.0,1,370000,362072.0,100.0,A,91,91.0,,B,Andrew Peretz (212) 233-8164 (p),(212) 984-8000 (p),$12.20 ,7346.0,14.0,,Financial District,40.7061944,-74.0116611
1000250001,"55 Broad St, New York, NY 10004",Silverstein Properties,Rudin,2025,30.0,88,406025,400143.0,100.0,N (exempt),63,,60.0,A,Thomas Keating (212) 407-2481 (p),,,,,,Financial District,40.7053508,-74.0107163
1000290036,"1 William St, New York, NY 10004",Banca IMI Securities,Cushman & Wakefield,1983,12.0,4,105000,49250.0,100.0,B,73,73.0,,B,(212) 326-1100 (p),(212) 326-1100 (p),$8.91 ,8750.0,4.0,,Financial District,40.704732,-74.0100293
1000290070,"75 Broad St, New York, NY 10004",JEMB,JEMB,2017,34.0,96,671172,653245.0,82.3,A,100,,87.0,A,Joseph Hamway (917) 414-4961 (p),,,,,,Financial District-Battery Park City,40.7046826,-74.0114166
1000290073,"44 Beaver St, New York, NY 10004",City of New York,DCAS,1984,12.0,1,97596,97596.0,100.0,C,69,,82.0,B,(212) 639-9675 (p),,,9499.0,1.0,,Midtown,40.7050013,-74.0107588
1000330001,"77 Water St, New York, NY 10005",Kaufman Organization,CBRE,2008,26.0,35,546882,372360.87,100.0,B,76,75.0,,A,,,,,,,Financial District-Battery Park City,40.758,-73.9855
1000390012,"110 Maiden Lane, New York, NY 10005",Rudin,Lalezarian Properties,2007,38.0,70,1049691,1069367.0,97.0,N (exempt),18,,37.0,A,,,,,,,Financial District-Battery Park City,40.7063612,-74.0067441
