bbl,address,office_sqft,total_gross_floor_area,elec_tariff,gas_tariff,steam_tariff,Gas_Jan_2023_kBtu,Gas_Feb_2023_kBtu,Gas_Mar_2023_kBtu,Gas_Apr_2023_kBtu,Gas_May_2023_kBtu,Gas_Jun_2023_kBtu,Gas_Jul_2023_kBtu,Gas_Aug_2023_kBtu,Gas_Sep_2023_kBtu,Gas_Oct_2023_kBtu,Gas_Nov_2023_kBtu,Gas_Dec_2023_kBtu,District_Steam_Jan_2023_kBtu,District_Steam_Feb_2023_kBtu,District_Steam_Mar_2023_kBtu,District_Steam_Apr_2023_kBtu,District_Steam_May_2023_kBtu,District_Steam_Jun_2023_kBtu,District_Steam_Jul_2023_kBtu,District_Steam_Aug_2023_kBtu,District_Steam_Sep_2023_kBtu,District_Steam_Oct_2023_kBtu,District_Steam_Nov_2023_kBtu,District_Steam_Dec_2023_kBtu,Elec_HVAC_Jan_2023_kBtu,Elec_HVAC_Feb_2023_kBtu,Elec_HVAC_Mar_2023_kBtu,Elec_HVAC_Apr_2023_kBtu,Elec_HVAC_May_2023_kBtu,Elec_HVAC_Jun_2023_kBtu,Elec_HVAC_Jul_2023_kBtu,Elec_HVAC_Aug_2023_kBtu,Elec_HVAC_Sep_2023_kBtu,Elec_HVAC_Oct_2023_kBtu,Elec_HVAC_Nov_2023_kBtu,Elec_HVAC_Dec_2023_kBtu,Elec_NonHVAC_Jan_2023_kBtu,Elec_NonHVAC_Feb_2023_kBtu,Elec_NonHVAC_Mar_2023_kBtu,Elec_NonHVAC_Apr_2023_kBtu,Elec_NonHVAC_May_2023_kBtu,Elec_NonHVAC_Jun_2023_kBtu,Elec_NonHVAC_Jul_2023_kBtu,Elec_NonHVAC_Aug_2023_kBtu,Elec_NonHVAC_Sep_2023_kBtu,Elec_NonHVAC_Oct_2023_kBtu,Elec_NonHVAC_Nov_2023_kBtu,Elec_NonHVAC_Dec_2023_kBtu,Gas_Jan_2023_Cost_USD,Gas_Feb_2023_Cost_USD,Gas_Mar_2023_Cost_USD,Gas_Apr_2023_Cost_USD,Gas_May_2023_Cost_USD,Gas_Jun_2023_Cost_USD,Gas_Jul_2023_Cost_USD,Gas_Aug_2023_Cost_USD,Gas_Sep_2023_Cost_USD,Gas_Oct_2023_Cost_USD,Gas_Nov_2023_Cost_USD,Gas_Dec_2023_Cost_USD,Steam_Jan_2023_Cost_USD,Steam_Feb_2023_Cost_USD,Steam_Mar_2023_Cost_USD,Steam_Apr_2023_Cost_USD,Steam_May_2023_Cost_USD,Steam_Jun_2023_Cost_USD,Steam_Jul_2023_Cost_USD,Steam_Aug_2023_Cost_USD,Steam_Sep_2023_Cost_USD,Steam_Oct_2023_Cost_USD,Steam_Nov_2023_Cost_USD,Steam_Dec_2023_Cost_USD,Elec_HVAC_Jan_2023_Cost_USD,Elec_HVAC_Feb_2023_Cost_USD,Elec_HVAC_Mar_2023_Cost_USD,Elec_HVAC_Apr_2023_Cost_USD,Elec_HVAC_May_2023_Cost_USD,Elec_HVAC_Jun_2023_Cost_USD,Elec_HVAC_Jul_2023_Cost_USD,Elec_HVAC_Aug_2023_Cost_USD,Elec_HVAC_Sep_2023_Cost_USD,Elec_HVAC_Oct_2023_Cost_USD,Elec_HVAC_Nov_2023_Cost_USD,Elec_HVAC_Dec_2023_Cost_USD,Elec_NonHVAC_Jan_2023_Cost_USD,Elec_NonHVAC_Feb_2023_Cost_USD,Elec_NonHVAC_Mar_2023_Cost_USD,Elec_NonHVAC_Apr_2023_Cost_USD,Elec_NonHVAC_May_2023_Cost_USD,Elec_NonHVAC_Jun_2023_Cost_USD,Elec_NonHVAC_Jul_2023_Cost_USD,Elec_NonHVAC_Aug_2023_Cost_USD,Elec_NonHVAC_Sep_2023_Cost_USD,Elec_NonHVAC_Oct_2023_Cost_USD,Elec_NonHVAC_Nov_2023_Cost_USD,Elec_NonHVAC_Dec_2023_Cost_USD
1000090014,"17 State St, New York, NY 10004",542515,575860,SC9 Rate II (Large TOD),SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,2228697.351,1641629.594,1194470.075,735948.4087,148377.0769,5303.619469,2324.885561,0,70.77527727,169236.1148,965503.5765,1604209.223,429155.321,469271.348,467768.021,240234.93,274297.621,454708.83,686084.621,583216.021,423510.33,270263.021,346737.63,366783.621,1406708.979,1270575.852,1406708.979,1361331.27,1406708.979,1361331.27,1406708.979,1406708.979,1361331.27,1406708.979,1361331.27,1406708.979,0,0,0,0,0,0,0,0,0,0,0,0,108114.11,79635.45,57943.74,35700.86,7197.77,257.28,112.78,0,3.43,8209.64,46836.58,77820.19,25877.44468,32920.04558,26631.52682,13851.942,18315.27793,56828.61778,80524.54068,69549.34689,53870.01532,18047.61012,22263.5961,21648.3566,84822.51532,89132.68442,80088.43318,78494.338,93928.14207,170136.5122,165102.9493,167752.0631,173159.7347,93937.13988,87409.4039,83026.9834
1000090029,"24 State St, New York, NY 10004",849807,835356,SC9 Rate II (Large TOD),SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,4493238.176,3808257.707,2809883.747,1671120.026,2047683.354,3168637.396,4115817.22,3954437.362,3075213.819,2344073.595,2713496.149,3528474.147,704373.405,678880.2045,699558.905,642592.0048,674408.305,746737.2048,728059.605,786074.005,563133.1048,407869.005,611884.5048,535658.805,2311257.695,2087587.595,2311257.695,2236700.995,2311257.695,2236700.995,2311257.695,2311257.695,2236700.995,2311257.695,2236700.995,2311257.695,0,0,0,0,0,0,0,0,0,0,0,0,217966.98,184738.58,136307.46,81066.03,99333.12,153710.6,199658.29,191829.76,149178.62,113711.01,131631.7,171166.28,44169.11522,45739.45365,41472.07824,36104.99877,46298.29935,90111.0643,87392.02334,91939.84106,67305.89564,27276.165,40538.10254,31733.75532,144931.9448,140650.9063,137018.7118,125672.4112,158668.4207,269909.5557,277429.8767,270326.5389,267331.4044,154564.935,148184.1975,136924.6347
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792,SC9 Rate I (Standard),SC-3 (General Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,1437583.564,1189256.925,840275.7319,295348.6641,49357.47889,121.0760131,47.35456594,0,0,132824.7955,648296.177,1094960.933,468212.855,486640.6432,602186.055,419781.5177,363026.355,427648.9177,545270.055,543844.255,391467.2177,223803.355,243620.2177,207536.955,1176042.745,1062232.157,1176042.745,1138105.882,1176042.745,1138105.882,1176042.745,1176042.745,1138105.882,1176042.745,1138105.882,1176042.745,0,0,0,0,0,0,0,0,0,0,0,0,69737.18,57690.85,40761.78,14327.36,2394.33,5.87,2.3,0,0,6443.33,31448.85,53116.55,17443.58816,19054.43811,20720.94683,14918.69611,13836.73331,19757.24842,26870.39362,25677.07694,19330.00379,8346.092179,9237.644265,7445.853,43814.27184,41591.75189,40467.09317,40447.36389,44824.81669,52580.14158,57954.27638,55525.71306,56197.78621,43857.07782,43154.94573,42193.167
1000100023,"1 Whitehall St, New York, NY 10004",316494,321994,SC9 Rate I (Standard),SC-3 (General Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,1827609.886,1629697.946,1185037.54,475981.39,443911.5087,901727.2801,1279608.893,1121582.24,700006.6628,522541.0117,992674.6631,1500213.979,105513.5875,148454.25,141772.1875,83500.875,158868.8875,240879.875,295468.3875,312272.3875,212590.675,167204.1875,130883.775,109644.2875,488944.0125,441626.85,488944.0125,473171.625,488944.0125,473171.625,488944.0125,488944.0125,473171.625,488944.0125,473171.625,488944.0125,0,0,0,0,0,0,0,0,0,0,0,0,88657.36,79056.65,57486.17,23089.86,21534.15,39561.75,39561.75,39561.75,33957.32,25348.46,48154.65,72775.38,3987.803506,5890.823628,4951.055741,3015.8985,6126.497973,11220.59652,14663.25329,14848.06101,10583.15835,6303.287709,5024.035124,3985.849241,18479.25649,17524.22637,17075.20426,17090.0915,18855.26203,22041.14348,24264.89671,23248.51899,23555.36165,18432.28229,18162.91488,17774.36076
1000130001,"1 Broadway, New York, NY 10004",180000,230911,SC9 Rate I (Standard),SC-2 (Small General Service),SC-2 (Annual Power Service),727,331,332,669,97,0,0,4,2,0,14,400,0,0,0,0,0,0,0,0,0,0,0,0,294169.64,281675.2942,290184.44,157348.5581,86445.24,108815.5581,221065.44,229713.74,227287.2581,111410.24,150690.4581,238194.74,489856.36,442450.9058,489856.36,474054.5419,489856.36,474054.5419,489856.36,489856.36,474054.5419,489856.36,474054.5419,489856.36,16.21,7.38,7.4,14.92,2.16,0,0,0.09,0.04,0,0.31,8.92,0,0,0,0,0,0,0,0,0,0,0,0,11057.91281,11132.88612,10089.8065,5666.361901,3341.91,5086.011465,10985.45248,10938.81565,11311.06231,4207.729539,5780.187314,8623.487196,18413.82719,17487.35388,17032.4635,17071.4281,18937.49,22157.18853,24342.53752,23326.63435,23591.55769,18500.84046,18183.79269,17734.5228
1000130005,"11 Broadway, New York, NY 10004",411720,434220,SC9 Rate I (Standard),SC-3 (General Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,2641985.12,2324074.718,1985295.23,780469.5983,53968.52968,72.63043761,55.54618443,4592.354591,2832.318728,265779.6373,1482158.16,2402142.957,134409.725,127581.1097,162869.725,246578.9532,329073.025,495818.9532,688646.225,751475.825,585536.8532,302769.425,101098.1532,97460.325,552275.175,498829.1903,552275.175,534459.8468,552275.175,534459.8468,552275.175,552275.175,534459.8468,552275.175,534459.8468,552275.175,0,0,0,0,0,0,0,0,0,0,0,0,128162.7,112740.86,96306.67,37860.58,2618.01,3.52,2.69,222.78,137.4,12892.97,71899.49,116527.95,5064.680376,5056.273559,5672.534601,8842.172449,12622.61884,22989.21048,34013.53122,35550.10803,28983.08266,11360.01031,3876.535273,3536.4975,20810.22962,19769.51644,19235.0054,19165.40755,21184.23116,24780.83952,27277.90878,26126.51197,26454.85734,20721.54969,20493.47473,20040.1525
1000130027,"25 Broadway, New York, NY 10004",767690,809401,SC9 Rate II (Large TOD),SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,3849621.6,3592980.2,3079697.3,2053131.5,1026565.8,513282.9,513282.9,513282.9,769924.3,1539848.7,2566414.4,3592980.2,1429725.135,1493414.88,885067.935,724745.45,612739.335,997074.05,1429725.135,1429725.135,997074.05,885067.935,1269402.65,1429725.135,3472189.565,3136171.22,3472189.565,3360183.45,3472189.565,3360183.45,3472189.565,3472189.565,3360183.45,3472189.565,3360183.45,3472189.565,0,0,0,0,0,0,0,0,0,0,0,0,186745.14,174295.47,149396.12,99597.41,49798.71,24899.35,24899.35,24899.35,37349.03,74698.06,124496.76,174295.47,89843.96839,102281.7587,52896.64282,40510.50371,42085.9125,118114.0365,174419.4684,172338.4325,125135.9863,59304.90145,80088.70335,82690.52249,218192.4916,214791.6913,207517.5972,187821.4263,238486.8375,398049.5035,423590.1316,418536.1875,421713.7837,232657.6886,211999.5066,200819.8375
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862,SC9 Rate II (Large TOD),SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),212000.3,217077,253667.9,197080,221110.3,197349.7,167844.8,196818.4,202533.4,210737.5,230869.2,244369.6,9979942.681,13055419.66,9119882.949,4680407.784,3139790.598,1059714.97,542335.9323,559613.8938,571132.6151,649843.3285,2850863.642,7698292.845,2350353.24,3118602.92,3050396.04,2340634.8,3352077.54,3359855.1,5920409.44,3523029.24,3123963.3,1976346.84,2103885.6,1367079.54,7746784.06,6997095.28,7746784.06,7496887.8,7746784.06,7496887.8,7746784.06,7746784.06,7496887.8,7746784.06,7496887.8,7746784.06,3710.01,3798.85,4439.19,3448.9,3869.43,3453.62,2937.28,3444.32,3544.33,3687.91,4040.21,4276.47,484127.02,633318.41,442405.52,227046.58,152311.24,51406.77,26308.72,27146.87,27705.64,31523.9,138295.4,373444.19,141473.9663,215590.584,176856.6052,130551.5153,226605.8617,415130.5025,706977.0721,430753.2194,384943.7723,132124.9023,133298.343,80262.588,466299.3837,483712.706,449144.9348,418147.2747,523695.1283,926286.0175,925070.9379,947182.6506,923788.1477,517896.4877,474989.097,454821.332
1000200004,"39 Broadway, New York, NY 10006",447442,447442,SC9 Rate I (Standard),SC-3 (General Firm Service),SC-2 (Annual Power Service),18234,18234,21808,18855,19321,20254,17923,19062,20910,18855,17716,20047,3192814.103,2682070.215,1698823.448,809131.5153,390096.7129,14915.2774,16293.71495,54695.72611,317457.9007,996152.9753,1836081.883,2413112.128,153789.7822,169338.8807,206717.0822,165180.315,198844.8822,298506.815,525919.7822,472801.0822,310732.415,149147.3822,132164.115,152040.0822,773894.3178,699001.3193,773894.3178,748929.985,773894.3178,748929.985,773894.3178,773894.3178,748929.985,773894.3178,748929.985,773894.3178,364.68,364.68,436.16,377.1,386.42,405.08,358.46,381.24,418.2,377.1,354.32,400.94,154883.41,130107.23,82409.93,39250.97,18923.59,723.54,790.41,2653.29,15399.88,48323.38,89068.33,117060.07,5765.771749,6673.431301,7160.450182,5907.821259,7616.678588,13838.24585,25966.54428,22375.18234,15388.64154,5589.621682,5038.6725,5482.007986,29014.26825,27546.7587,26806.83982,26786.14874,29643.73141,34719.06415,38209.93572,36624.33766,37089.83846,29003.36832,28552.4775,27903.79201
1000200009,"45 Broadway, New York, NY 10006",368305,394763,SC9 Rate I (Standard),SC-3 (General Firm Service),SC-2 (Annual Power Service),17229,24408,40166,22101,35524,22191,16431,18327,14090,16462,14628,14870,1381847.511,1158387.225,798737.1302,396848.517,130387.8732,489.9941923,0,0,0,173363.1124,672424.1084,1025221.929,223713.76,263868.8994,282070.76,221538.4065,290142.86,343905.0065,468989.46,461105.56,330428.4065,199484.16,271232.1065,214418.66,1130410.24,1021015.701,1130410.24,1093945.394,1130410.24,1093945.394,1130410.24,1130410.24,1093945.394,1130410.24,1093945.394,1130410.24,344.58,488.16,803.32,442.02,710.48,443.82,328.62,366.54,281.8,329.24,292.56,297.4,67033.42,56193.36,38746.74,19251.12,6325.12,23.77,0,0,0,8409.84,32619.29,49733.52,8349.232504,10349.35635,9726.517746,7886.441689,11066.67261,15898.10323,23121.7917,21781.50356,16324.01564,7442.9355,10285.83259,7694.980409,42188.0975,40045.85365,38979.42225,38942.84831,43116.27739,50571.10677,55730.6983,53397.82644,54043.72436,42176.6345,41485.27741,40567.75959
