bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1007390001,1013043.0,111 8 AVENUE,40.7413598,-74.0032081,46,1,47,True
1008780065,1018032.0,120 EAST 23 STREET,40.7394761,-73.985728,36,3,39,True
1007130001,1012541.0,75 9 AVENUE,40.7425509,-74.0060555,22,0,22,True
1008410049,1016046.0,452 5 AVENUE,40.7520493,-73.982477,20,0,20,True
1008480015,1080760.0,895 BROADWAY,40.7390621,-73.9901847,19,0,19,True
1005110008,1079998.0,584 BROADWAY,40.7245976,-73.9968937,15,3,18,True
1019310036,1058661.0,2108 ADAM C POWELL BLVD,40.8096319,-73.9484114,15,0,15,True
1008360010,1083638.0,31 WEST 34 STREET,40.7497333,-73.9864982,14,0,14,True
1008210032,1015472.0,11 WEST 19 STREET,40.7398198,-73.9922379,9,3,12,True
1006720001,1012268.0,601 WEST 26 STREET,40.7515838,-74.0065544,8,4,12,True
1008560024,1016880.0,380 PARK AVENUE SOUTH,40.742745,-73.9855866,12,0,12,True
1004730001,1079877.0,462 BROADWAY,40.7208071,-74.0000938,9,3,12,True
1008060006,1015157.0,151 WEST 30 STREET,40.7484492,-73.991811,9,2,11,True
1000490002,1001029.0,111 BROADWAY,40.7087131,-74.0116395,10,1,11,True
1013010001,1036205.0,245 PARK AVENUE,40.7546252,-73.9747233,9,2,11,True
1005000011,1079963.0,120 WOOSTER STREET,40.7250395,-74.0000758,10,1,11,True
1006460027,1012229.0,428 WEST 14 STREET,40.7411812,-74.0070586,10,1,11,True
1008200026,1015446.0,23 WEST 18 STREET,40.7393614,-73.9929019,7,3,10,True
1006030028,1010404.0,617 WASHINGTON STREET,40.7314866,-74.0085585,8,2,10,True
1000860001,1001230.0,90 CHURCH STREET,40.7127343,-74.0106411,10,0,10,True
1010270020,1024877.0,1740 BROADWAY,40.7649495,-73.9816902,10,0,10,True
1016340003,1052015.0,105 EAST 106 STREET,40.7929324,-73.9471712,10,0,10,True
1005110012,1007944.0,592 BROADWAY,40.7247979,-73.9967061,8,1,9,True
1008470040,1016152.0,230 PARK AVENUE SOUTH,40.7377005,-73.9887632,7,2,9,True
