bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Elec_HVAC_Jan_2023_Pct,Elec_HVAC_Feb_2023_Pct,Elec_HVAC_Mar_2023_Pct,Elec_HVAC_Apr_2023_Pct,Elec_HVAC_May_2023_Pct,Elec_HVAC_Jun_2023_Pct,Elec_HVAC_Jul_2023_Pct,Elec_HVAC_Aug_2023_Pct,Elec_HVAC_Sep_2023_Pct,Elec_HVAC_Oct_2023_Pct,Elec_HVAC_Nov_2023_Pct,Elec_HVAC_Dec_2023_Pct,odcv_hvac_savings_pct,Office_Elec_Savings_ODCV_Jan_kBtu,Office_Elec_Savings_ODCV_Feb_kBtu,Office_Elec_Savings_ODCV_Mar_kBtu,Office_Elec_Savings_ODCV_Apr_kBtu,Office_Elec_Savings_ODCV_May_kBtu,Office_Elec_Savings_ODCV_Jun_kBtu,Office_Elec_Savings_ODCV_Jul_kBtu,Office_Elec_Savings_ODCV_Aug_kBtu,Office_Elec_Savings_ODCV_Sep_kBtu,Office_Elec_Savings_ODCV_Oct_kBtu,Office_Elec_Savings_ODCV_Nov_kBtu,Office_Elec_Savings_ODCV_Dec_kBtu,Office_Gas_Savings_ODCV_Jan_kBtu,Office_Gas_Savings_ODCV_Jan_USD,Office_Gas_Savings_ODCV_Feb_kBtu,Office_Gas_Savings_ODCV_Feb_USD,Office_Gas_Savings_ODCV_Mar_kBtu,Office_Gas_Savings_ODCV_Mar_USD,Office_Gas_Savings_ODCV_Apr_kBtu,Office_Gas_Savings_ODCV_Apr_USD,Office_Gas_Savings_ODCV_May_kBtu,Office_Gas_Savings_ODCV_May_USD,Office_Gas_Savings_ODCV_Jun_kBtu,Office_Gas_Savings_ODCV_Jun_USD,Office_Gas_Savings_ODCV_Jul_kBtu,Office_Gas_Savings_ODCV_Jul_USD,Office_Gas_Savings_ODCV_Aug_kBtu,Office_Gas_Savings_ODCV_Aug_USD,Office_Gas_Savings_ODCV_Sep_kBtu,Office_Gas_Savings_ODCV_Sep_USD,Office_Gas_Savings_ODCV_Oct_kBtu,Office_Gas_Savings_ODCV_Oct_USD,Office_Gas_Savings_ODCV_Nov_kBtu,Office_Gas_Savings_ODCV_Nov_USD,Office_Gas_Savings_ODCV_Dec_kBtu,Office_Gas_Savings_ODCV_Dec_USD,Office_Steam_Savings_ODCV_Jan_kBtu,Office_Steam_Savings_ODCV_Jan_USD,Office_Steam_Savings_ODCV_Feb_kBtu,Office_Steam_Savings_ODCV_Feb_USD,Office_Steam_Savings_ODCV_Mar_kBtu,Office_Steam_Savings_ODCV_Mar_USD,Office_Steam_Savings_ODCV_Apr_kBtu,Office_Steam_Savings_ODCV_Apr_USD,Office_Steam_Savings_ODCV_May_kBtu,Office_Steam_Savings_ODCV_May_USD,Office_Steam_Savings_ODCV_Jun_kBtu,Office_Steam_Savings_ODCV_Jun_USD,Office_Steam_Savings_ODCV_Jul_kBtu,Office_Steam_Savings_ODCV_Jul_USD,Office_Steam_Savings_ODCV_Aug_kBtu,Office_Steam_Savings_ODCV_Aug_USD,Office_Steam_Savings_ODCV_Sep_kBtu,Office_Steam_Savings_ODCV_Sep_USD,Office_Steam_Savings_ODCV_Oct_kBtu,Office_Steam_Savings_ODCV_Oct_USD,Office_Steam_Savings_ODCV_Nov_kBtu,Office_Steam_Savings_ODCV_Nov_USD,Office_Steam_Savings_ODCV_Dec_kBtu,Office_Steam_Savings_ODCV_Dec_USD,office_elec_odcv_savings_pct_jan,office_elec_odcv_savings_pct_feb,office_elec_odcv_savings_pct_mar,office_elec_odcv_savings_pct_apr,office_elec_odcv_savings_pct_may,office_elec_odcv_savings_pct_jun,office_elec_odcv_savings_pct_jul,office_elec_odcv_savings_pct_aug,office_elec_odcv_savings_pct_sep,office_elec_odcv_savings_pct_oct,office_elec_odcv_savings_pct_nov,office_elec_odcv_savings_pct_dec,Office_Elec_Savings_ODCV_Jan_USD,Office_Elec_Savings_ODCV_Feb_USD,Office_Elec_Savings_ODCV_Mar_USD,Office_Elec_Savings_ODCV_Apr_USD,Office_Elec_Savings_ODCV_May_USD,Office_Elec_Savings_ODCV_Jun_USD,Office_Elec_Savings_ODCV_Jul_USD,Office_Elec_Savings_ODCV_Aug_USD,Office_Elec_Savings_ODCV_Sep_USD,Office_Elec_Savings_ODCV_Oct_USD,Office_Elec_Savings_ODCV_Nov_USD,Office_Elec_Savings_ODCV_Dec_USD,Total_ODCV_Savings_Annual_USD,ODCV_Savings_Rank
1000090014,"17 State St, New York, NY 10004",542515.0,575860,0.942,SC9 Rate II (Large TOD),0.234,0.27,0.25,0.15,0.163,0.25,0.328,0.293,0.237,0.161,0.203,0.207,0.3,121402.7568,132753.816,132431.775,67890.375,77433.54119999999,128303.25,193986.9408,164769.34109999982,119541.9231,76299.8964,97988.1609,103746.12299999985,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,629829.9,35869.71,463924.5,26421.16,337557.3,19224.37,207978.9,11844.69,41931.3,2388.05,1498.8,85.36,657.0,37.42,0.0,,20.1,1.14,47826.0,2723.76,272851.2,15539.26,453349.5,25818.9,0.0702,0.081,0.075,0.045,0.0489,0.075,0.0984,0.0878999999999999,0.0711,0.0483,0.0609,0.0620999999999999,3941.730000000003,4521.649999999994,4067.409999999996,2105.489999999998,2561.0999999999985,4899.430000000008,7475.1600000000035,6518.219999999987,4680.090000000004,2445.8799999999974,3232.530000000006,3192.939999999995,189595.45,112.0
1000090029,"24 State St, New York, NY 10004",849807.0,835356,1.0,SC9 Rate II (Large TOD),0.234,0.245,0.232,0.223,0.226,0.25,0.24,0.254,0.201,0.15,0.215,0.188,0.3,211697.2962,203335.398,209552.8632,192624.7017,202428.1548,223757.85,218830.824,236016.6984,168829.9902,122360.715,183733.7325,160566.0624,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1347971.4,48206.35,1142477.4,40857.44,842965.2,30146.24,501336.0,17928.85,614304.9,21968.86,950591.1,33995.18,1234745.1,44157.13,1186331.1,42425.74,922564.2,32992.87,703222.2,25148.73,814048.7999999999,29112.13,1058542.2,37855.74,0.0702,0.0735,0.0696,0.0669,0.0678,0.075,0.072,0.0762,0.0603,0.045,0.0645,0.0564,6873.419999999998,6925.679999999993,6436.050000000003,5973.889999999999,6695.270000000004,8544.5,8432.5,9336.740000000003,6609.720000000001,3922.4199999999983,6061.190000000002,4941.649999999994,485548.2899999999,25.0
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792,0.795,SC9 Rate I (Standard),0.285,0.314,0.339,0.269,0.236,0.273,0.317,0.316,0.256,0.16,0.176,0.15,0.316,117724.90097999987,122179.869296,151440.341808,105279.15408,91248.21056,107384.2497,137079.772368,136534.10736,98370.425856,56267.11168,61092.618752,52137.4404,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,361149.764,20567.99,298765.044,17015.09,211094.004,12022.1,74197.432,4225.65,12399.524,706.17,30.336,1.73,12.008,0.68,0.0,,0.0,,33368.336,1900.37,162864.82,9275.38,275076.104,15665.98,0.0900599999999999,0.099224,0.107124,0.085004,0.074576,0.086268,0.100172,0.099856,0.080896,0.05056,0.055616,0.0474,3822.32,4161.490000000005,4651.220000000001,3265.029999999999,3018.010000000002,4100.610000000001,5282.270000000004,5401.239999999998,3851.220000000001,1803.7100000000064,2015.3899999999992,1604.609999999997,124358.26000000002,137.0
1000100023,"1 Whitehall St, New York, NY 10004",316494.0,321994,0.983,SC9 Rate I (Standard),0.177,0.252,0.225,0.15,0.245,0.337,0.377,0.39,0.31,0.255,0.217,0.183,0.3,31029.09119999994,43851.78,41849.595,24624.405,46804.8,70963.4043,87208.80869999992,92148.73199999992,62691.672,49342.041,38655.468599999935,32303.818799999997,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,538962.2999999999,30694.67,480597.9,27370.73,349467.6,19902.68,140367.0,7994.1,130909.5,7455.48,265919.39999999997,15144.49,377356.8,21491.01,330754.5,18836.94,206432.1,11756.6,154097.4,8776.07,292739.7,16671.94,442413.0,25196.05,0.0530999999999999,0.0756,0.0675,0.045,0.0735,0.1011,0.1130999999999999,0.1169999999999999,0.093,0.0765,0.0650999999999999,0.0549,1007.4599999999992,1493.6100000000006,1285.34,763.6800000000003,1548.0599999999977,2709.84,3360.529999999999,3645.3799999999974,2454.3899999999994,1581.7200000000012,1275.2099999999991,994.2000000000008,233410.18,85.0
1000130001,"1 Broadway, New York, NY 10004",180000.0,230911,0.78,SC9 Rate I (Standard),0.375,0.389,0.372,0.249,0.15,0.187,0.311,0.319,0.324,0.185,0.241,0.327,0.2666666666666666,61153.999999999935,58590.45386666665,60356.45439999994,32701.60159999995,17980.599999999955,22671.331466666637,45988.10906666665,47744.942666666626,47264.860799999944,23136.741333333317,31317.2109333333,49519.13599999995,151.19999999999996,4.49,68.79999999999998,2.41,69.06666666666665,2.41,139.19999999999996,4.19,20.266666666666666,1.18,0.0,,0.0,,0.7999999999999998,0.69,0.5333333333333332,0.68,0.0,,2.9333333333333327,0.74,83.19999999999999,2.77,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0999999999999999,0.1037333333333333,0.0991999999999999,0.0663999999999999,0.0399999999999999,0.0498666666666666,0.0829333333333333,0.0850666666666666,0.0863999999999999,0.0493333333333333,0.0642666666666666,0.0871999999999999,1985.5600000000013,1995.6100000000008,1853.739999999998,1014.17,594.710000000001,865.7299999999996,1772.119999999999,1888.7700000000004,1850.4300000000003,741.6800000000003,1033.1200000000026,1524.0200000000004,17139.220000000005,402.0
1000130005,"11 Broadway, New York, NY 10004",411720.0,434220,0.948,SC9 Rate I (Standard),0.196,0.204,0.228,0.316,0.373,0.481,0.555,0.576,0.523,0.354,0.159,0.15,0.3038666666666667,38770.80136906662,36811.2430256,46969.9456912,71096.99062666661,94699.50396079994,142754.92641279995,198393.973878,216325.9180032,168736.82908919992,87193.33304159991,29110.1018332,28074.95542,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,761065.0610666667,43343.74,669486.0289333333,38128.18,571895.2986666667,32570.25,224826.38866666667,12804.18,15546.4264,885.39,20.9668,1.19,16.104933333333335,0.92,1323.0354666666667,75.35,815.8820000000001,46.47,76561.94146666667,4360.31,426958.7992,24315.91,691974.8970666666,39408.96,0.0595578666666666,0.0619888,0.0692816,0.0960218666666666,0.1133422666666666,0.1461598666666666,0.168646,0.1750272,0.1589222666666666,0.1075687999999999,0.0483148,0.04558,1258.8199999999997,1253.8100000000013,1442.5999999999983,2204.9399999999987,3132.170000000002,5451.290000000001,7644.970000000001,8557.769999999997,6606.080000000002,2795.09,960.3100000000012,864.0400000000009,238112.74,83.0
1000130027,"25 Broadway, New York, NY 10004",767690.0,809401,0.948,SC9 Rate II (Large TOD),0.292,0.323,0.203,0.177,0.15,0.229,0.292,0.292,0.229,0.203,0.274,0.292,0.3109,421869.033342,440731.1883536,260698.367636,213101.6796308996,180594.643755,294088.306348,421869.033342,421869.033342,294088.306348,260698.367636,373871.0390368,421869.033342,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1134611.2069,40576.13,1058970.4805,37871.05,907689.0277,32460.91,605126.1221,21640.61,302562.9056,10820.3,151281.4528,5410.15,151281.4528,5410.15,151281.4528,5410.15,226922.1792,8115.22,453844.6693,16230.46,756407.5749,27050.76,1058970.4805,37871.05,0.0907828,0.1004207,0.0631127,0.0550292999999999,0.046635,0.0711961,0.0907828,0.0907828,0.0711961,0.0631127,0.0851866,0.0907828,13697.320000000009,15011.46000000002,8006.889999999999,6608.940000000002,5973.12999999999,11230.160000000003,16256.440000000002,16688.98999999999,11513.600000000006,8357.0,12333.639999999985,12983.640000000014,387528.15000000014,30.0
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862,0.85,SC9 Rate II (Large TOD),0.233,0.308,0.283,0.238,0.302,0.309,0.433,0.313,0.294,0.203,0.219,0.15,0.2666666666666666,533263.4962666663,706210.571733333,692603.1063999993,530701.5391999994,759754.043733333,760406.2343999991,1341389.429866666,799555.6621333328,707773.4831999991,447393.6487999997,476582.3687999992,309871.3599999992,48053.33333333332,1216.42,49203.999999999985,1245.53,57498.13333333333,1455.37,44671.46666666666,1130.85,50118.39999999999,1268.66,44732.533333333326,1132.4,38044.79999999999,963.2,44612.266666666656,1129.36,45907.46666666666,1162.13,47767.19999999999,1209.18,52330.39999999999,1324.63,55390.39999999999,1402.04,2262120.266666666,80898.27,2959228.5333333327,105828.36,2067173.5999999996,73926.56,1060892.5333333332,37939.79,711685.8666666665,25451.41,240202.13333333327,8590.14,122929.59999999998,4396.23,126845.86666666664,4536.28,129456.79999999996,4629.65,147297.86666666664,5267.69,646195.7333333332,23109.34,1744946.3999999997,62403.02,0.0621333333333333,0.0821333333333333,0.0754666666666666,0.0634666666666666,0.0805333333333333,0.0823999999999999,0.1154666666666666,0.0834666666666666,0.0783999999999999,0.0541333333333333,0.0583999999999999,0.0399999999999999,17314.089999999967,24053.79999999999,21272.089999999967,16458.70000000001,25128.719999999972,29037.140000000018,51689.52000000002,31630.140000000018,27709.45000000001,14341.74000000002,15721.99000000002,9536.73999999999,735510.6299999999,8.0
1000200004,"39 Broadway, New York, NY 10006",447442.0,447442,1.0,SC9 Rate I (Standard),0.166,0.195,0.211,0.181,0.204,0.285,0.405,0.379,0.293,0.162,0.15,0.164,0.3223,49632.763831200005,54573.86649,66686.74523829989,53325.7951929999,63956.81105879999,96212.84935349989,169666.671141,152285.9136314999,100068.0153417999,48194.4227292,42596.489429999914,48942.2786248,5876.8182,149.49,5876.8182,149.49,7028.7184,178.63,6076.9664999999995,154.55,6227.158299999999,158.35,6527.864199999999,165.96,5776.582899999999,146.95,6143.682599999999,156.24,6739.293,171.31,6076.9664999999995,154.55,5709.8668,145.27,6461.148099999999,164.27,1029043.9522,58605.52,864431.161,49230.59,547530.6529,31182.65,260783.2436,14851.98,125728.2631,7160.4,4807.1044999999995,273.77,5251.5562,299.08,17628.5208,1003.97,102316.7134,5827.08,321060.11189999996,18284.83,591769.2285999999,33702.1,777745.9975999999,44293.74,0.0535018,0.0628485,0.0680052999999999,0.0583362999999999,0.0657492,0.0918554999999999,0.1305315,0.1221516999999999,0.0944338999999999,0.0522126,0.0483449999999999,0.0528572,1611.4900000000016,1858.7999999999993,2048.1699999999983,1653.7999999999993,2115.3600000000006,3674.020000000004,6537.989999999998,6024.380000000005,3917.68,1544.9300000000003,1405.2200000000012,1506.2700000000004,300508.88,53.0
1000200009,"45 Broadway, New York, NY 10006",368305.0,394763,0.933,SC9 Rate I (Standard),0.165,0.205,0.2,0.168,0.204,0.239,0.293,0.29,0.232,0.15,0.199,0.159,0.3123,65102.267241,76748.78213549999,82312.5987,64394.4261744,84438.64465919998,100130.2025058,136545.779736,134481.489228,96286.5596376,58124.854394999995,79158.2091147,62304.2481825,5020.222500000001,127.79,7112.0079000000005,180.71,11703.4425,296.88,6439.626,163.7,10350.8712,262.66,6465.859200000001,164.37,4787.559,121.91,5340.0177,135.88,4105.495800000001,104.65,4796.6157,122.14,4262.2704,108.62,4332.8502,110.4,402637.1472,22930.76,337526.03250000003,19222.59,232732.8306,13254.47,115632.198,6585.42,37991.9196,2163.69,142.7211,8.13,0.0,,0.0,,0.0,,50513.900400000006,2876.84,195928.2756,11158.39,298724.9436,17012.81,0.0515295,0.0640215,0.06246,0.0524664,0.0637092,0.0746397,0.0915039,0.090567,0.0724536,0.046845,0.0621477,0.0496557,2113.75,2614.090000000004,2528.090000000004,1997.0699999999997,2792.800000000003,3823.5999999999985,5261.700000000004,5320.040000000001,3769.6399999999994,1863.2699999999968,2611.350000000006,1917.5,133725.71,129.0
1000200016,"55 Broadway, New York, NY 10006",298081.0,354072,0.842,SC9 Rate I (Standard),0.191,0.262,0.204,0.15,0.228,0.38,0.29,0.299,0.258,0.177,0.165,0.194,0.3131,58244.4945034,79178.6278908,63251.24090999999,42147.3303,72856.0831176,146319.73929,100842.36818899988,105318.07633099987,83039.2917858,53073.1035224999,47192.470281,59415.9619106,53.8532,2.15,48.5305,2.01,53.8532,2.15,394.506,10.76,10.9585,1.06,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,465786.9722,26527.23,401550.75,22868.89,289390.1894,16481.18,152998.5067,8713.48,67423.8933,3839.89,11117.8679,633.18,0.0,,0.0,,0.0,,0.0,,216680.855,12340.28,412462.5981,23490.33,0.0598021,0.0820322,0.0638724,0.046965,0.0713868,0.118978,0.0907989999999999,0.0936168999999999,0.0807798,0.0554186999999999,0.0516615,0.0607414,1891.09,2696.860000000004,1942.6500000000017,1307.119999999999,2409.7100000000028,5587.4100000000035,3885.8899999999994,4166.3499999999985,3251.0,1701.329999999998,1556.8300000000015,1828.6100000000008,147137.44,122.0
1000210001,"61 Broadway, New York, NY 10006",633379.0,709506,0.893,SC9 Rate II (Large TOD),0.176,0.15,0.58,0.458,0.457,0.532,0.589,0.563,0.527,0.418,0.373,0.389,0.3068666666666667,44475.32508906664,33195.31701,287541.6769599999,170462.03056733328,175265.74929220002,229294.64599066656,298429.71933586657,268296.5106381333,224465.4401479333,149665.3623358666,119897.94791079994,132662.98965886663,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,906873.2402666667,51647.72,732244.3194,41702.36,424758.08893333335,24190.58,125453.23066666668,7144.74,27572.8906,1570.32,1043.0398,59.4,1530.6509333333331,87.17,1898.2772,108.11,2416.5750000000003,137.63,70794.75373333333,4031.86,384413.40766666667,21892.89,644548.5771333333,36707.96,0.0540085333333333,0.04603,0.1779826666666666,0.1405449333333333,0.1402380666666667,0.1632530666666666,0.1807444666666666,0.1727659333333333,0.1617187333333333,0.1282702666666666,0.1144612666666666,0.1193711333333333,1444.0299999999988,1130.6500000000017,8831.339999999997,5286.559999999998,5796.879999999997,8755.93,11499.78,10613.719999999994,8787.86,4797.709999999999,3955.3100000000018,4082.8899999999994,264263.39999999997,72.0
