final_rank,bbl,address,total_score,core_score,bonus_score,cost_savings_score,bas_automation_score,ownership_score,complexity_score,energy_star_bonus,prestige_bonus,Total_ODCV_Savings_Annual_USD,total_present_value,Has Building Automation,owner_building_count,ownername,Class,LL33 grade,GreenRating,Latest_ENERGY_STAR_Score,energy_star_gap
1.0,1009950005,"1472 Broadway, New York, NY 10036",98.01709401709402,93.01709401709402,5,38.01709401709402,28.0,18,9,3,2,539290.0599999999,4207375.094816413,yes,10,Durst Organization,A,D,,44,31.0
2.0,1000940025,"100 Gold St, New York, NY 10038",97.03418803418803,94.03418803418803,3,36.034188034188034,28.0,20,10,0,3,181235.01999999996,2694009.6131100613,yes,14,City of New York,A,B,,84,
3.0,1010160036,"1515 Broadway, New York, NY 10036",96.7008547008547,93.7008547008547,3,38.7008547008547,26.0,20,9,1,2,651112.0099999999,5079775.538250891,yes,26,SL Green Realty,A,N (exempt),,58,11.0
4.0,1012670001,"1290 Ave Of The Americas, New York, NY 10104",96.58974358974359,94.58974358974359,2,39.58974358974359,26.0,20,9,0,2,1090509.21,10627647.116429957,yes,42,Vornado Realty Trust,A,C,,60,-8.0
5.0,1013010001,"245 Park Ave, New York, NY 10167",95.90598290598291,90.90598290598291,5,38.9059829059829,26.0,20,6,3,2,782678.02,6204598.767664788,yes,26,SL Green Realty,A,C,,58,24.0
6.0,1010400029,"825 8 Ave, New York, NY 10019",94.04273504273505,91.04273504273505,3,39.042735042735046,26.0,20,6,0,3,643629.47,6465869.771418608,yes,26,SL Green Realty,A,B,,75,
7.0,1005540001,"770 Broadway, New York, NY 10001",93.55555555555556,90.55555555555556,3,35.55555555555556,28.0,20,7,0,3,308105.82999999996,2568701.3603995154,yes,42,Vornado Realty Trust,A,B,,76,
8.0,1013280001,"909 3 Ave, New York, NY 10022",92.21367521367522,88.21367521367522,4,35.21367521367522,26.0,20,7,0,4,316175.8499999999,2466706.6863283366,yes,42,Vornado Realty Trust,A,A,,90,
9.0,1013290001,"919 3 Ave, New York, NY 10022",91.94871794871796,89.94871794871796,2,37.94871794871795,28.0,20,4,0,2,538436.1,4200712.7616816815,yes,26,SL Green Realty,A,N (exempt),,66,3.0
10.0,1010250025,"1690 Broadway, New York, NY 10019",91.85470085470085,88.85470085470085,3,36.85470085470085,30.0,20,2,0,3,333807.93000000005,3077366.271535478,yes,42,Vornado Realty Trust,A,B,,72,8.0
11.0,1010150029,"1493 Broadway, New York, NY 10036",90.88034188034189,82.88034188034189,8,37.88034188034188,28.0,15,2,3,5,213823.42,4196589.7894143015,yes,5,Paramount Group,A,D,LEED Platinum,46,29.0
12.0,1012700071,"1350 Ave Of The Americas, New York, NY 10019",90.87179487179486,86.87179487179486,4,34.87179487179487,28.0,20,4,1,3,270018.74,2328794.8246954586,yes,26,SL Green Realty,A,B,,72,13.0
13.0,1001210001,"1 Centre St, New York, NY 10013",90.74358974358975,88.74358974358975,2,37.743589743589745,24.0,20,7,0,2,510201.81,3980437.519512701,yes,14,City of New York,A,N (exempt),,96,
